Iteration;Input;Order;
0;3.5;0.4004;
10000;2.4;3.3836;
20000;1.5;7.6444;
30000;1.6;7.5483;
40000;1.3;7.6901;
50000;1;7.3957;
60000;1.1;9.7034;
70000;1.3;10.2907;
80000;1;14.6497;
90000;1.1;13.9275;
100000;1.1;15.905;
110000;1.4;23.0651;
120000;1.2;19.5057;
130000;1.4;25.0068;
140000;1.4;24.4062;
150000;1;29.7131;
160000;1.1;24.8162;
170000;1.2;27.2733;
180000;1.4;27.5463;
190000;1.2;42.2358;
200000;1.5;32.4892;
210000;1.5;38.888;
220000;1.1;42.4441;
230000;1.1;38.6554;
240000;1.4;39.9631;
250000;1;39.1076;
260000;1.8;48.1475;
270000;1.4;44.781;
280000;1.1;49.6616;
290000;2.5;49.8915;
300000;1;49.0858;
310000;1.9;52.783;
320000;1.7;52.2469;
330000;1.2;60.17;
340000;1.5;56.7943;
350000;1.7;62.7704;
360000;1.4;57.1116;
370000;1.6;70.7867;
380000;1.7;61.0981;
390000;1.8;62.6199;
400000;1.1;66.2286;
410000;1.6;65.0176;
420000;1.3;65.8738;
430000;11.9;78.1168;
440000;1.5;76.2878;
450000;2;74.5731;
460000;1.5;76.6895;
470000;1.6;78.2924;
480000;1.7;79.2671;
490000;1;82.2625;
500000;1.3;89.0541;
510000;1.7;87.0826;
520000;1.4;86.0466;
530000;1.3;88.7261;
540000;1.3;89.7372;
550000;1.3;89.4176;
560000;1.4;93.0454;
570000;1.3;92.0931;
580000;2;95.4714;
590000;1.8;96.2916;
600000;1.4;96.1469;
610000;1.5;98.0096;
620000;1.6;100.836;
630000;2.1;100.961;
640000;1.6;106.107;
650000;1.8;113.663;
660000;1.9;112.32;
670000;1.8;118.378;
680000;1.4;112.9;
690000;1.6;128.159;
700000;2.2;116.32;
710000;2;123.544;
720000;2.1;128.054;
730000;2;125.539;
740000;1.9;215.369;
750000;2.1;183.844;
760000;2.2;142.722;
770000;1.6;142.524;
780000;1.7;154.292;
790000;2.1;190.32;
800000;2.1;146.363;
810000;1.9;147.604;
820000;2;143.053;
830000;1.4;179.84;
840000;2.9;187.319;
850000;7.7;149.535;
860000;1.8;187.456;
870000;4.4;186.213;
880000;1.8;191.732;
890000;2.5;174.888;
900000;2.6;173.556;
910000;1.8;188.969;
920000;1.7;189.736;
930000;2.1;173.38;
940000;1.6;178.073;
950000;1.7;189.981;
960000;2;175.478;
970000;1.7;197.943;
980000;2.4;211.3;
990000;1.5;188.651;
1000000;1.9;207.817;
1010000;1.8;210.882;
1020000;1.6;212.906;
1030000;3.6;207.699;
1040000;1.8;215.244;
1050000;2.3;192.696;
1060000;1.7;202.296;
1070000;1.4;195.799;
1080000;2;209.256;
1090000;1.7;196.428;
1100000;1.8;222.738;
1110000;2.3;207.829;
1120000;2.2;212.591;
1130000;1.8;202.497;
1140000;11.1;230.092;
1150000;2.1;212.042;
1160000;2.3;240.344;
1170000;3.7;230.445;
1180000;2.9;232.728;
1190000;2;221.499;
1200000;2.6;232.067;
1210000;2.1;267.563;
1220000;1.7;270.646;
1230000;1.4;236.896;
1240000;1.2;265.255;
1250000;2;251.003;
1260000;3.2;275.975;
1270000;2.2;235.545;
1280000;2;245.192;
1290000;1.5;239.166;
1300000;1.4;293.438;
1310000;1.7;264.243;
1320000;2;253.649;
1330000;1.9;255.319;
